Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,X10,CIK
KYN^F,Kayne Anderson MLP Investment Company,25.14,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kyn^f,NA,NA
KB,KB Financial Group Inc,61.57,24689782662.78,n/a,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/kb,NA,1445930
KBH,KB Home,31.64,2754207104.6,n/a,1986,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/kbh,NA,795266
KBR,"KBR, Inc.",17.96,2515829777.64,n/a,2006,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/kbr,NA,1357615
KAP,"KCAP Financial, Inc.",25.51,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kap,NA,1372807
FRAC,"Keane Group, Inc.",15.01,1678585951.76,n/a,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/frac,NA,1688476
K,Kellogg Company,69.66,24065620480.08,n/a,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/k,NA,55067
KEM,Kemet Corporation,18.4,1041538053.6,n/a,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/kem,NA,887730
KMPA,Kemper Corporation,25.58,0,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/kmpa,NA,860748
KMPR,Kemper Corporation,58.85,3028609261.15,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/kmpr,NA,860748
KMT,Kennametal Inc.,44.25,3609623613.75,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/kmt,NA,55242
KW,Kennedy-Wilson Holdings Inc.,16.6,2513986087,n/a,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/kw,NA,1408100
KEN,Kenon Holdings Ltd.,29.72,1596548503.24,n/a,2015,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ken,NA,1611005
KEG,"Key Energy Services, Inc.",12.91,259618615.35,n/a,2016,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/keg,NA,318996
KEY,KeyCorp,21.02,22472145680,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/key,NA,91576
KEY^I,KeyCorp,27.6241,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/key^i,NA,NA
KEYS,Keysight Technologies Inc.,45.87,8601172137.36,n/a,2014,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/keys,NA,1601046
KRC,Kilroy Realty Corporation,68.43,6755493632.04,n/a,1997,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/krc,NA,1025996
KRP,Kimbell Royalty Partners,17.5,288921482.5,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/krp,NA,1657788
KMB,Kimberly-Clark Corporation,116.1,40716999688.5,n/a,n/a,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/kmb,NA,55785
KIM,Kimco Realty Corporation,15.2,6469931816.8,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/kim,NA,879101
KIM^I,Kimco Realty Corporation,25,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kim^i,NA,NA
